"";"ds";"trend";"additive_terms";"additive_terms_lower";"additive_terms_upper";"yearly";"yearly_lower";"yearly_upper";"multiplicative_terms";"multiplicative_terms_lower";"multiplicative_terms_upper";"yhat_lower";"yhat_upper";"trend_lower";"trend_upper";"yhat"
"1";1980-01-01;21699,5863631244;-8241,51737536842;-8241,51737536842;-8241,51737536842;-8241,51737536842;-8241,51737536842;-8241,51737536842;0;0;0;10991,2367161195;16197,9470859216;21699,5863631244;21699,5863631244;13458,0689877559
"2";1980-02-01;21783,270281244;-4974,77277301222;-4974,77277301222;-4974,77277301222;-4974,77277301222;-4974,77277301222;-4974,77277301222;0;0;0;14154,8602705965;19587,1539341486;21783,270281244;21783,270281244;16808,4975082318
"3";1980-03-01;21861,5552369044;-1603,12238012384;-1603,12238012384;-1603,12238012384;-1603,12238012384;-1603,12238012384;-1603,12238012384;0;0;0;17553,2354283926;22690,2695869837;21861,5552369044;21861,5552369044;20258,4328567805
"4";1980-04-01;21945,239155024;-1642,17451655925;-1642,17451655925;-1642,17451655925;-1642,17451655925;-1642,17451655925;-1642,17451655925;0;0;0;17701,9629131678;22881,64120243;21945,239155024;21945,239155024;20303,0646384648
"5";1980-05-01;22026,223591914;-1994,06530994576;-1994,06530994576;-1994,06530994576;-1994,06530994576;-1994,06530994576;-1994,06530994576;0;0;0;17373,608178483;22531,7821072451;22026,223591914;22026,223591914;20032,1582819683
"6";1980-06-01;22109,9075100337;-2478,77671377474;-2478,77671377474;-2478,77671377474;-2478,77671377474;-2478,77671377474;-2478,77671377474;0;0;0;16899,8232058436;22271,2109876068;22109,9075100337;22109,9075100337;19631,1307962589
"7";1980-07-01;22190,8919469237;2683,67833985189;2683,67833985189;2683,67833985189;2683,67833985189;2683,67833985189;2683,67833985189;0;0;0;22062,4004816394;27346,7561276412;22190,8919469237;22190,8919469237;24874,5702867756
"8";1980-08-01;22274,5758655459;2746,41064484083;2746,41064484083;2746,41064484083;2746,41064484083;2746,41064484083;2746,41064484083;0;0;0;22443,8315274759;27783,9201739758;22274,5758655459;22274,5758655459;25020,9865103867
"9";1980-09-01;22358,2597841681;-2240,20550432446;-2240,20550432446;-2240,20550432446;-2240,20550432446;-2240,20550432446;-2240,20550432446;0;0;0;17352,1697048579;22676,3145899423;22358,2597841681;22358,2597841681;20118,0542798436
"10";1980-10-01;22439,2442215444;514,833988665588;514,833988665588;514,833988665588;514,833988665588;514,833988665588;514,833988665588;0;0;0;20317,8862152892;25550,1430875513;22439,2442215444;22439,2442215444;22954,07821021
"11";1980-11-01;22522,9281401666;5317,03694877155;5317,03694877155;5317,03694877155;5317,03694877155;5317,03694877155;5317,03694877155;0;0;0;25300,6260553864;30548,5873904477;22522,9281401666;22522,9281401666;27839,9650889381
"12";1980-12-01;22603,9125775429;9431,55752307357;9431,55752307357;9431,55752307357;9431,55752307357;9431,55752307357;9431,55752307357;0;0;0;29383,604310231;34631,6625969803;22603,9125775429;22603,9125775429;32035,4701006165
"13";1981-01-01;22687,5964971427;-8676,03738724742;-8676,03738724742;-8676,03738724742;-8676,03738724742;-8676,03738724742;-8676,03738724742;0;0;0;11178,0515826652;16616,1358284669;22687,5964971427;22687,5964971427;14011,5591098953
"14";1981-02-01;22771,2804167425;-5608,3463220488;-5608,3463220488;-5608,3463220488;-5608,3463220488;-5608,3463220488;-5608,3463220488;0;0;0;14670,1448843513;19693,5939998696;22771,2804167425;22771,2804167425;17162,9340946937
"15";1981-03-01;22846,86589251;-2058,91353472754;-2058,91353472754;-2058,91353472754;-2058,91353472754;-2058,91353472754;-2058,91353472754;0;0;0;18008,1584218307;23392,4075496026;22846,86589251;22846,86589251;20787,9523577825
"16";1981-04-01;22930,5498121098;-1506,16289701693;-1506,16289701693;-1506,16289701693;-1506,16289701693;-1506,16289701693;-1506,16289701693;0;0;0;19003,4169110334;24004,888261577;22930,5498121098;22930,5498121098;21424,3869150929
"17";1981-05-01;23011,5342504322;-2101,49519072207;-2101,49519072207;-2101,49519072207;-2101,49519072207;-2101,49519072207;-2101,49519072207;0;0;0;18227,049820818;23485,8856769505;23011,5342504322;23011,5342504322;20910,0390597101
"18";1981-06-01;23095,218170032;-2265,94574748997;-2265,94574748997;-2265,94574748997;-2265,94574748997;-2265,94574748997;-2265,94574748997;0;0;0;18147,061739329;23616,2281378323;23095,218170032;23095,218170032;20829,272422542
"19";1981-07-01;23176,202610358;2715,30114122126;2715,30114122126;2715,30114122126;2715,30114122126;2715,30114122126;2715,30114122126;0;0;0;23448,7062513552;28640,2624815869;23176,202610358;23176,202610358;25891,5037515792
"20";1981-08-01;23259,8865320282;2422,11891450404;2422,11891450404;2422,11891450404;2422,11891450404;2422,11891450404;2422,11891450404;0;0;0;23025,9123669706;28308,3695147775;23259,8865320282;23259,8865320282;25682,0054465322
"21";1981-09-01;23343,5704536984;-1775,66149311993;-1775,66149311993;-1775,66149311993;-1775,66149311993;-1775,66149311993;-1775,66149311993;0;0;0;19133,1976934368;24319,9567153907;23343,5704536984;23343,5704536984;21567,9089605785
"22";1981-10-01;23424,5548940244;179,722357314327;179,722357314327;179,722357314327;179,722357314327;179,722357314327;179,722357314327;0;0;0;20937,9712658121;26300,3539009142;23424,5548940244;23424,5548940244;23604,2772513387
"23";1981-11-01;23508,2388156946;5090,23338875428;5090,23338875428;5090,23338875428;5090,23338875428;5090,23338875428;5090,23338875428;0;0;0;25959,6638894589;31116,7489396087;23508,2388156946;23508,2388156946;28598,4722044489
"24";1981-12-01;23589,2232572488;9682,27921885902;9682,27921885902;9682,27921885902;9682,27921885902;9682,27921885902;9682,27921885902;0;0;0;30427,7872080935;35865,7759812935;23589,2232572488;23589,2232572488;33271,5024761078
"25";1982-01-01;23672,9071801881;-8534,33935235329;-8534,33935235329;-8534,33935235329;-8534,33935235329;-8534,33935235329;-8534,33935235329;0;0;0;12463,3604607689;17612,8704269925;23672,9071801881;23672,9071801881;15138,5678278348
"26";1982-02-01;23756,5911031274;-5390,03985959907;-5390,03985959907;-5390,03985959907;-5390,03985959907;-5390,03985959907;-5390,03985959907;0;0;0;15577,1683005758;20886,2525509937;23756,5911031274;23756,5911031274;18366,5512435283
